Article Title,Cited,Impact Factor,altmetric_score,DOI,retracted,severity_category
Identification of miR-758-3p as Potential Modulator of CBX5 Expression in Gastric Cancer,3.0,2.7,8.04,10.1177/15330338211039599,yes,Critical
"Long Noncoding RNA H19 Inhibits Cell Viability, Migration, and Invasion Via Downregulation of IRS-1 in Thyroid Cancer Cells",2.0,2.7,7.29,10.1177/15330338211039594,yes,Critical
Race and Crime: International Data for 1989–1990,4.0,1.7,16.04,10.1177/00332941211042507,yes,Critical
Dioscin induces prostate cancer cell apoptosis through activation of estrogen receptor-β,4.0,8.1,10.25,10.1038/s41419-021-04083-y,yes,Critical
Early Events Associated with Infection of Epstein-Barr Virus Infection of Primary B-Cells,2.0,2.9,8.04,10.1371/journal.pone.0256674,yes,Critical
Strength and dynamic elasticity modulus of rubberized concrete designed with ANFIS modeling and ultrasonic technique,1.0,7.4,5.08,10.1016/j.conbuildmat.2019.117920,yes,Minor
β-Adrenergic receptor structure and function: molecular insights guiding the development of novel therapeutic strategies to treat malignancy,4.0,2.6,2.0,10.1080/10799893.2021.1952546,yes,Minor
Synthetic miR-145 mimic inhibits multiple myeloma cell growth in vitro and in vivo,1.0,3.8,0.25,10.3892/or.2021.8125,yes,Critical
Direct versus indirect veneer restorations for intrinsic dental stains (Pub 2),2.0,8.8,1.0,10.1002/14651858.CD004347.pub3,yes,Minor
Interventions for replacing missing teeth: preprosthetic surgery versus dental implants,3.0,8.8,1.85,10.1002/14651858.CD003604.pub2,yes,Minor
Tailoring the electronic and optical properties of SnSe2/InS van der Waals heterostructures by the biaxial strains,1.0,2.3,0.5,10.1016/j.physleta.2021.127538,yes,Critical
Arthroscopy for temporomandibular disorders (Pub 2),14.0,8.8,10.75,10.1002/14651858.CD006385.pub3,yes,Minor
Arthrocentesis and lavage for treating temporomandibular joint disorders (Pub 2),16.0,8.8,14.55,10.1002/14651858.CD004973.pub3,yes,Minor
Common antiepileptic drugs in pregnancy in women with epilepsy,1.0,8.8,3.0,10.1002/14651858.CD004848.pub2,yes,Minor
Psychosocial interventions for the management of chronic orofacial pain (Pub 2),32.0,8.8,21.05,10.1002/14651858.CD008456.pub3,yes,Minor
Immunotherapy for advanced renal cell cancer (Pub 2),7.0,8.8,23.0,10.1002/14651858.CD001425.pub3,yes,Moderate
Stabilisation splint therapy for temporomandibular pain dysfunction syndrome (Pub 2),20.0,8.8,18.6,10.1002/14651858.CD002778.pub3,yes,Minor
Occlusal adjustment for treating and preventing temporomandibular joint disorders,15.0,8.8,14.9,10.1002/14651858.CD003812.pub2,yes,Minor
Orthodontics for treating temporomandibular joint (TMJ) disorders (Pub 2),26.0,8.8,22.35,10.1002/14651858.CD006541.pub3,yes,Minor
Acyclovir for treating primary herpetic gingivostomatitis (Pub 2),16.0,8.8,9.4,10.1002/14651858.CD006700.pub3,yes,Minor
Interventions for the management of submucous cleft palate (Pub 2),6.0,8.8,4.5,10.1002/14651858.CD006703.pub3,yes,Minor
Hepatic heme-regulated inhibitor (HRI) eukaryotic initiation factor 2 α kinase: a protagonist of heme-mediated translational control of CYP2B enzymes and a modulator of basal endoplasmic reticulum stress tone,1.0,3.2,3.0,10.1124/mol.109.061259retraction,yes,Critical
Reduction of WDR81 impairs autophagic clearance of aggregated proteins and cell viability in neurodegenerative phenotypes,9.0,4,11.5,10.1371/journal.pgen.1009746,yes,Minor
Inhaled bronchodilators for cystic fibrosis (Pub 2),2.0,8.8,6.0,10.1002/14651858.CD003428.pub3,yes,Minor
Psychological treatments for epilepsy (Pub 2),1.0,8.8,3.0,10.1002/14651858.CD002029.pub4,yes,Minor
Psychological interventions to improve adherence to oral hygiene instructions in adults with periodontal diseases (Pub 2),13.0,8.8,12.45,10.1002/14651858.CD005097.pub3,yes,Minor
Surgical management of localised renal cell carcinoma (Pub 2),1.0,8.8,3.0,10.1002/14651858.CD006579.pub3,yes,Minor
Antidepressants for generalised anxiety disorder (GAD),12.0,8.8,28.58,10.1002/14651858.CD003592.pub2,yes,Minor
Diuretics for heart failure (Pub 2),6.0,8.8,9.0,10.1002/14651858.CD003838.pub4,yes,Minor
Two dimensional speckle tracking echocardiography detects cardiac allograft stage III vasculopathy in recipients of heart transplants with preserved systolic function,2.0,2.1,12.04,10.1080/00015385.2021.1963067,yes,Moderate
Review of The Alchemy of Meth: a decomposition,1.0,2.4,0.5,10.1080/14649365.2021.1945331,yes,Minor
A novel microRNA identified in hepatocellular carcinomas is responsive to LEF1 and facilitates proliferation and epithelial-mesenchymal transition via targeting of NFIX,1.0,5.9,0.25,10.1038/s41389-021-00336-9,yes,Critical
Surgical versus conservative interventions for anterior cruciate ligament ruptures in adults (Pub 3),2.0,8.8,3.25,10.1002/14651858.CD001356.pub4,yes,Minor
Nasal saline irrigations for the symptoms of chronic rhinosinusitis (Pub 2),36.0,8.8,138.926,10.1002/14651858.CD006394.pub3,yes,Minor
Efficacy and safety of vortioxetine for the treatment of major depressive disorder: a randomised double-blind placebo-controlled study,2.0,2.9,3.25,10.1080/13651501.2021.1950437,yes,Critical
Oral steroids for nasal polyps (Pub 3),1.0,8.8,3.0,10.1002/14651858.CD005232.pub4,yes,Minor
Emerging concepts underlying selective neuromuscular dysfunction in infantile-onset spinal muscular atrophy,2.0,5.9,9.5,10.4103/1673-5374.314116,yes,Minor
"microRNA‑335 inhibits proliferation, cell‑cycle progression, colony formation, and invasion via targeting PAX6 in breast cancer cells",1.0,3.4,0.25,10.3892/mmr.2021.12278,yes,Critical
microRNA‑206 overexpression inhibits cellular proliferation and invasion of estrogen receptor α‑positive ovarian cancer cells,1.0,3.4,5.08,10.3892/mmr.2021.12279,yes,Critical
miR‑22 inhibits proliferation and invasion in estrogen receptor α‑positive endometrial endometrioid carcinomas cells,1.0,3.4,5.08,10.3892/mmr.2021.12280,yes,Critical
MicroRNA-107 inhibits tumor growth and metastasis by targeting the BDNF-mediated PI3K/AKT pathway in human non-small lung cancer,2.0,4.5,2.0,10.3892/ijo.2021.5246,yes,Critical
Atypical Mismatch Negativity in Response to Emotional Voices in People with Autism Spectrum Conditions,8.0,2.9,9.5,10.1371/journal.pone.0256413,yes,Major
MicroRNA‑145 inhibits migration and invasion via inhibition of fascin 1 protein expression in non‑small‑cell lung cancer cells,1.0,3.4,0.25,10.3892/mmr.2021.12365,yes,Critical
Upregulation of microRNA‑27b contributes to the migration and invasion of gastric cancer cells via the inhibition of sprouty2‑mediated ERK signaling,1.0,3.4,0.5,10.3892/mmr.2021.12366,yes,Critical
Human bone marrow-derived mesenchymal stem cell-secreted exosomes overexpressing microRNA-34a ameliorate glioblastoma development via down-regulating MYCN,1.0,4.9,8.0,10.1007/s13402-021-00627-8,yes,Critical
Identification of volatile constituents released from IQOS heat-not-burn tobacco HeatSticks using a direct sampling method,13.0,4,34.45,10.1136/tobaccocontrol-2019-055521,yes,Minor
Identification of volatile constituents released from IQOS heat-not-burn tobacco HeatSticks using a direct sampling method,13.0,4,34.45,10.1136/tobaccocontrol-2019-055521ret,yes,Minor
CXCL5 promotes the proliferation and migration of glioma cells in autocrine‑ and paracrine‑dependent manners,1.0,3.8,5.08,10.3892/or.2021.8163,yes,Critical
MicroRNA-18b inhibits the growth of malignant melanoma via inhibition of HIF-1α-mediated glycolysis,3.0,3.8,7.58,10.3892/or.2021.8161,yes,Critical
MicroRNA‑101 induces apoptosis in cisplatin‑resistant gastric cancer cells by targeting VEGF‑C,1.0,3.4,0.25,10.3892/mmr.2021.12333,yes,Critical
Suppression of endoplasmic reticulum stress‑induced invasion and migration of breast cancer cells through the downregulation of heparanase,1.0,5.7,5.04,10.3892/ijmm.2021.5021,yes,Critical
MicroRNA‑214 promotes proliferation and inhibits apoptosis via targeting Bax in nasopharyngeal carcinoma cells,1.0,3.4,0.25,10.3892/mmr.2021.12334,yes,Critical
MicroRNA‑144 acts as a tumor suppressor by targeting Rho‑associated coiled‑coil containing protein kinase 1 in osteosarcoma cells,1.0,3.4,0.25,10.3892/mmr.2021.12344,yes,Critical
YY1-induced lncRNA DSCR8 promotes the progression of ovarian cancer via miR-3192-5p/YY1 axis,1.0,6.9,0.25,10.1016/j.biopha.2021.111986,yes,Minor
First-line pembrolizumab vs chemotherapy in metastatic non-small-cell lung cancer: KEYNOTE-024 Japan subset,3.0,4.5,1.25,10.1111/cas.15066,yes,Minor
Rubberized alkali-activated slag mortar reinforced with polypropylene fibres for application in lightweight thermal insulating materials,1.0,7.4,3.0,10.1016/j.conbuildmat.2020.121430,yes,Critical
CONSORT-epidural dexmedetomidine improves gastrointestinal motility after laparoscopic colonic resection compared with morphine,1.0,1.3,0.25,10.1097/MD.0000000000025238,yes,Minor
Efficacy and safety of acupuncture therapy for COVID-19: A protocol for systematic review and meta-analysis,31.0,1.3,19.849999999999994,10.1097/MD.0000000000025226,yes,Moderate
Hematological involvement in pediatric systemic lupus erythematosus: A multi-center study,9.0,1.9,5.35,10.1177/09612033211026424,yes,Minor
MiR-17–5p Up-Regulates YES1 to Modulate the Cell Cycle Progression and Apoptosis in Ovarian Cancer Cell Lines,2.0,3,10.25,10.1002/jcb.30132,yes,Critical
"Propranolol suppresses HUVEC viability, migration, VEGF expression, and promotes apoptosis by downregulation of miR-4295",2.0,3,0.5,10.1002/jcb.28546,yes,Minor
"Propranolol suppresses HUVEC viability, migration, VEGF expression, and promotes apoptosis by downregulation of miR-4295",2.0,3,0.5,10.1002/jcb.30130,yes,Minor
Detection and replication of epistasis influencing transcription in humans,74.0,50.5,60.168000000000006,10.1038/s41586-021-03766-y,yes,Administrative
Birinapant sensitizes platinum-resistant carcinomas with high levels of cIAP to carboplatin therapy,21.0,6.8,71.50200000000001,10.1038/s41698-021-00217-9,yes,Major
Quorum Sensing System in Bacteroides thetaiotaomicron Strain Identified by Genome Sequence Analysis,4.0,3.7,1.75,10.1021/acsomega.1c02916,yes,Critical
Transcription activation of microRNA-25 by PEA3 augments progression of gastric cancer through suppressing SIK1,1.0,2.6,1.0,10.1113/EP089904,yes,Minor
MicroRNA-7 inhibits the malignant phenotypes of non-small cell lung cancer in vitro by targeting Pax6,1.0,3.4,0.25,10.3892/mmr.2021.12343,yes,Critical
Importance of Understanding the Validity and Reliability of Visual Analog Scales for Rating of Personality,7.0,1.6,15.29,10.1089/jamafacial.2015.0676.retract,yes,Major
Meta-analysis of Randomized Trials of Ivermectin to Treat SARS-CoV-2 Infection,10568.0,3.8,4371.835999999853,10.1093/ofid/ofab394,yes,Minor
MicroRNA-133a suppresses colorectal cancer cell invasion by targeting Fascin1,1.0,2.5,0.25,10.3892/ol.2021.12905,yes,Critical
miR‑215 functions as a tumor suppressor and directly targets ZEB2 in human non‑small cell lung cancer,1.0,2.5,0.25,10.3892/ol.2021.12861,yes,Critical
miR‑154 inhibits migration and invasion of human non‑small cell lung cancer by targeting ZEB2,1.0,2.5,0.25,10.3892/ol.2021.12873,yes,Critical
MicroRNA‑126 inhibits the migration and invasion of endometrial cancer cells by targeting insulin receptor substrate 1,1.0,2.5,0.25,10.3892/ol.2021.12906,yes,Critical
MicroRNA‑133b inhibits the migration and invasion of non small cell lung cancer cells via targeting FSCN1,1.0,2.5,5.08,10.3892/ol.2021.12929,yes,Critical
Talin1 knockdown prohibits the proliferation and migration of colorectal cancer cells via the EMT signaling pathway,1.0,2.5,0.25,10.3892/ol.2021.12943,yes,Critical
"Demethylation drug 5‑Aza‑2’‑deoxycytidine‑induced upregulation of miR‑200c inhibits the migration, invasion and epithelial‑mesenchymal transition of clear cell renal cell carcinoma in vitro",1.0,2.5,1.0,10.3892/ol.2021.12923,yes,Critical
Compliance with Guidelines of Enhanced Recovery After Surgery in Elderly Patients Undergoing Gastrectomy,1.0,2.3,0.5,10.1007/s00268-021-06272-4,yes,Major
COVID 19 response: An analysis of teachers’ perception on pedagogical successes and challenges of digital teaching practice during new normal,6.0,4.8,3.95,10.1007/s10639-021-10503-5,yes,Major
MicroRNA-138 inhibits hypoxia-induced proliferation of endothelial progenitor cells via inhibition of HIF-1α-mediated MAPK and AKT signaling,1.0,2.4,0.25,10.3892/etm.2021.10428,yes,Critical
MicroRNA-599 suppresses glioma progression by targeting RAB27B,1.0,2.5,0.25,10.3892/ol.2021.12938,yes,Critical
Long non-coding RNA Mirt2 prevents TNF-α-triggered inflammation via the repression of microRNA-101,1.0,4.8,0.25,10.1016/j.intimp.2021.108030,yes,Minor
Piceatannol inhibits pyroptosis and suppresses oxLDL-induced lipid storage in macrophages by regulating miR-200a/Nrf2/GSDMD axis,1.0,3.8,7.0,10.1042/BSR-2020-1366_RET,yes,Minor
"Small interfering RNA-induced inhibition of epithelial Cell transforming sequence 2 suppresses the proliferation, migration and invasion of osteosarcoma cells",1.0,2.4,5.08,10.3892/etm.2021.10408,yes,Critical
MicroRNA-101 has a suppressive role in osteosarcoma cells through the targeting of c-FOS,1.0,2.4,0.25,10.3892/etm.2021.10410,yes,Critical
ECT2 Increases the Stability of EGFR and Tumorigenicity by Inhibiting Grb2 Ubiquitination in Pancreatic Cancer,1.0,3.5,0.25,10.3389/fonc.2021.734761,yes,Critical
Topical steroids for nasal polyps (Pub 2),9.0,8.8,7.7,10.1002/14651858.CD006549.pub3,yes,Minor
Topical steroid for chronic rhinosinusitis without polyps,3.0,8.8,4.0,10.1002/14651858.CD009274.pub2,yes,Minor
Shengmai (a traditional Chinese herbal medicine) for heart failure,1.0,8.8,3.0,10.1002/14651858.CD005052.pub6,yes,Minor
Antiplatelet agents versus control or anticoagulation for heart failure in sinus rhythm,5.0,8.8,9.0,10.1002/14651858.CD003333.pub2,yes,Minor
Herbal medicines for viral myocarditis (Pub 3),9.0,8.8,5.5,10.1002/14651858.CD003711.pub6,yes,Minor
Gauze and tape and transparent polyurethane dressings for central venous catheters,1.0,8.8,3.0,10.1002/14651858.CD003827.pub3,yes,Minor
Artichoke leaf extract for treating hypercholesterolaemia (Pub 2),2.0,8.8,0.75,10.1002/14651858.CD003335.pub4,yes,Minor
Preoperative statin therapy for patients undergoing cardiac surgery (Pub 2),15.0,8.8,11.0,10.1002/14651858.CD008493.pub4,yes,Minor
Tongue scraping for treating halitosis (Pub 2),47.0,8.8,154.15,10.1002/14651858.CD005519.pub3,yes,Minor
Mouthrinses for the treatment of halitosis (Pub 2),30.0,8.8,49.9,10.1002/14651858.CD006701.pub3,yes,Minor
Methylphenidate for attention‐deficit/hyperactivity disorder in adults,1.0,8.8,3.0,10.1002/14651858.CD005041.pub3,yes,Moderate
Anticonvulsant drugs for migraine prophylaxis (Pub 2),6.0,8.8,5.2,10.1002/14651858.CD003226.pub3,yes,Minor
Target‐controlled infusion versus manually‐controlled infusion of propofol for general anaesthesia or sedation in adults (Pub 2),2.0,8.8,4.0,10.1002/14651858.CD006059.pub3,yes,Critical
Osteogenic Activity of Titanium Surfaces with Nanonetwork Structures,4.0,6.6,1.75,10.2147/IJN.S330283,yes,Critical
"Vitamin D sufficiency, a serum 25-hydroxyvitamin D at least 30 ng/mL reduced risk for adverse clinical outcomes in patients with COVID-19 infection",1670.0,2.9,1456.6640000000057,10.1371/journal.pone.0240965,yes,Critical
Exogenous t-PA Administration Increases Hippocampal Mature BDNF Levels. Plasmin- or NMDA-Dependent Mechanism?,27.0,2.9,14.25,10.1371/journal.pone.0255763,yes,Critical
Hsp90β is involved in the development of high salt-diet-induced nephropathy via interaction with various signalling proteins,1.0,4.5,0.25,10.1098/rsob.210209,yes,Critical
Receptor for advanced glycation end products reveals a mechanism regulating thyroid hormone secretion through the SIRT1/Nrf2 pathway,1.0,3,0.5,10.1002/jcb.30117,yes,Major
Overexpression of microRNA-590-3p promotes the proliferation of and inhibits the apoptosis of myocardial cells through inhibition of the NF-κB signaling pathway by binding to RIPK1,2.0,3,0.5,10.1002/jcb.30103,yes,Critical
microRNA-539 functions as a tumor suppressor in papillary thyroid carcinoma via the transforming growth factor β1/Smads signaling pathway by targeting secretory leukocyte protease inhibitor,1.0,3,0.25,10.1002/jcb.30106,yes,Critical
"Upregulation of microRNA-140-3p inhibits epithelial-mesenchymal transition, invasion, and metastasis of hepatocellular carcinoma through inactivation of the MAPK signaling pathway by targeting GRN",5.0,3,1.0,10.1002/jcb.30108,yes,Critical
Dietary Bacillus subtilis-based direct-fed microbials alleviate LPS-induced intestinal immunological stress and improve intestinal barrier gene expression in commercial broiler chickens,2.0,2.2,3.0,10.1016/j.rvsc.2021.07.012,yes,Minor
Signaling of ghrelin at GHSR1b and OX1R receptor heterodimers,3.0,3.1,1.25,10.1091/mbc.E19-06-0326-corr,yes,Administrative
Survival in human rabies but left against medical advice and death followed - Community education is the need of the hour,50.0,1.1,90.85,10.4103/2249-4863.320497,yes,Major
"Effects of microRNA-708 on Epithelial-Mesenchymal Transition, Cell Proliferation and Apoptosis in Melanoma Cells by Targeting LEF1 Through the Wnt Signaling Pathway",1.0,2.3,0.25,10.3389/pore.2021.1609917,yes,Critical
Sleep Time Duration Does Not Affect Oral Inflammation and Periodontal Health Status in Night-Shift Workers: A Cross-Sectional Study,1.0,3,0.25,10.2147/NSS.S328495,yes,Minor
Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR,13062.0,9.9,6433.244000000183,10.2807/1560-7917.ES.2020.25.48.2012031,yes,Major
Rubral modulation of breathing,5.0,2.6,15.29,10.1113/EP089094,yes,Minor
Inhibition of microRNA-940 suppresses the migration and invasion of human osteosarcoma cells through the secreted frizzled-related protein 1–mediated Wnt/β-catenin signaling pathway,1.0,3,0.25,10.1002/jcb.30102,yes,Critical
AT1R knockdown confers cardioprotection against sepsis-induced myocardial injury by inhibiting the MAPK signaling pathway in rats,3.0,3,1.5,10.1002/jcb.30100,yes,Critical
Suppression of BMX-ARHGAP fusion gene inhibits epithelial-mesenchymal transition in gastric cancer cells via RhoA-mediated blockade of JAK/STAT axis,1.0,3,0.25,10.1002/jcb.30099,yes,Critical
Flux-induced topological superconductivity in full-shell nanowires,2.0,44.7,3.25,10.1126/science.abl5286,yes,Major
"Talen‑mediated girdin knockout downregulates cell proliferation, migration and invasion in human esophageal carcinoma ECA109 cells",1.0,3.4,5.08,10.3892/mmr.2021.12318,yes,Critical
miR‑137 acts as a tumor suppressor in papillary thyroid carcinoma by targeting CXCL12,1.0,3.8,0.5,10.3892/or.2021.8157,yes,Critical
microRNA-542-5p protects against acute lung injury in mice with severe acute pancreatitis by suppressing the mitogen-activated protein kinase signaling pathway through the negative regulation of P21-activated kinase 1,1.0,3,1.0,10.1002/jcb.30097,yes,Critical
MicroRNA-198 inhibition of HGF/c-MET signaling pathway overcomes resistance to radiotherapy and induces apoptosis in human non–small-cell lung cancer,2.0,3,9.5,10.1002/jcb.30095,yes,Critical
Upregulated microRNA-485 suppresses apoptosis of renal tubular epithelial cells in mice with lupus nephritis via regulating the TGF-β-MAPK signaling pathway by inhibiting RhoA expression,1.0,3,0.25,10.1002/jcb.30094,yes,Critical
EBF1 gene promotes the proliferation and inhibits the apoptosis of bone marrow CD34+cells in patients with myelodysplastic syndrome through negative regulation of mitogen-activated protein kinase axis,3.0,3,1.0,10.1002/jcb.30093,yes,Critical
Vaginal progesterone for prevention of preterm labor in asymptomatic twin pregnancies with sonographic short cervix: a randomized clinical trial of efficacy and safety,9.0,2.1,24.04,10.1007/s00404-015-3767-1,yes,Major
Vaginal progesterone for prevention of preterm labor in asymptomatic twin pregnancies with sonographic short cervix: a randomized clinical trial of efficacy and safety,9.0,2.1,24.04,10.1007/s00404-021-06152-1,yes,Moderate
Substrate-Specific Differential Gene Expression and RNA Editing in the Brown Rot Fungus Fomitopsis pinicola,12.0,3.9,5.6,10.1128/AEM.00330-21,yes,Moderate
Increased Levels of Serum Glycosylated Hemoglobin are Associated with Depressive Symptoms in a Population with Cancer (≥49 Years): An Antidepressant-Stratified Analysis,2.0,3.5,7.54,10.2147/CIA.S329564,yes,Critical
Effects of RNA interference–mediated E-selectin gene silencing on cell adhesion molecule expression and cell-cell adhesion in vascular endothelial cells in mice with immunologic contact urticaria,3.0,3,1.75,10.1002/jcb.30092,yes,Critical
Upregulated microRNA-132 rescues cardiac fibrosis and restores cardiocyte proliferation in dilated cardiomyopathy through the phosphatase and tensin homolog–mediated PI3K/Akt signal transduction pathway,2.0,3,0.5,10.1002/jcb.30090,yes,Critical
TPX2 gene silencing inhibits cell proliferation and promotes apoptosis through negative regulation of AKT signaling pathway in ovarian cancer,1.0,3,0.25,10.1002/jcb.30089,yes,Critical
Down-regulated long non-coding RNA ANRIL restores the learning and memory abilities and rescues hippocampal pyramidal neurons from apoptosis in streptozotocin-induced diabetic rats via the NF-κB signaling pathway,1.0,3,5.08,10.1002/jcb.30085,yes,Critical
Analgesic effects of microRNA-129-5p against bone cancer pain through the EphB1/EphrinB2 signaling pathway in mice,1.0,3,0.25,10.1002/jcb.30083,yes,Critical
MicroRNA-184 inhibits proliferation and promotes apoptosis of human colon cancer SW480 and HCT116 cells by downregulating C-MYC and BCL-2,3.0,3,7.83,10.1002/jcb.30080,yes,Critical
Potential Role of Long Non-Coding RNA ANRIL in Pediatric Medulloblastoma Through Promotion on Proliferation and Migration by Targeting miR-323,1.0,3,0.25,10.1002/jcb.30079,yes,Critical
Small interfering RNA targeted to stem-loop II of the 5′ untranslated region effectively inhibits expression of six HCV genotypes,11.0,4,5.699999999999999,10.1186/s12985-021-01623-y,yes,Critical
Therapeutic touch for healing acute wounds (Pub 2),5.0,8.8,13.996,10.1002/14651858.CD002766.pub6,yes,Critical
Day care for pre‐school children,3.0,8.8,7.0,10.1002/14651858.CD000564.pub2,yes,Minor
Transcutaneous electrical stimulation (TES) for treatment of constipation in children (Pub 2),3.0,8.8,8.43,10.1002/14651858.CD010873.pub3,yes,Minor
Long noncoding RNA PCA3 regulates prostate cancer through sponging miR-218-5p and modulating high mobility group box 1,1.0,4.5,0.5,10.1002/jcp.30526,yes,Critical
Upregulated microRNA-15b alleviates ovarian cancer through inhitbition of the PI3K/Akt pathway by targeting LPAR3,2.0,4.5,0.5,10.1002/jcp.30524,yes,Critical
"Long noncoding RNA MT1JP inhibits proliferation, invasion, and migration while promoting apoptosis of glioma cells through the activation of PTEN/Akt signaling pathway",1.0,4.5,0.25,10.1002/jcp.30523,yes,Critical
Targeting of SPP1 by microRNA-340 inhibits gastric cancer cell epithelial–mesenchymal transition through inhibition of the PI3K/AKT signaling pathway,1.0,4.5,0.25,10.1002/jcp.30522,yes,Critical
Suppression of microRNA-342-3p increases glutamate transporters and prevents dopaminergic neuron loss through activating the Wnt signaling pathway via p21-activated kinase 1 in mice with Parkinson's disease,1.0,4.5,5.08,10.1002/jcp.30519,yes,Critical
Effects of microRNA-370 on mesangial cell proliferation and extracellular matrix accumulation by binding to canopy 1 in a rat model of diabetic nephropathy,1.0,4.5,0.5,10.1002/jcp.30518,yes,Critical
Role of CXCL12–CXCR4 axis in ovarian cancer metastasis and CXCL12–CXCR4 blockade with AMD3100 suppresses tumor cell migration and invasion in vitro,2.0,4.5,0.5,10.1002/jcp.30517,yes,Critical
Inhibitory role of large intergenic noncoding RNA-ROR on tamoxifen resistance in the endocrine therapy of breast cancer by regulating the PI3K/Akt/mTOR signaling pathway,1.0,4.5,0.25,10.1002/jcp.30516,yes,Critical
"MicroRNA-590-5p functions as a tumor suppressor in breast cancer conferring inhibitory effects on cell migration, invasion, and epithelial–mesenchymal transition by downregulating the Wnt–β-catenin signaling pathway",4.0,4.5,1.6,10.1002/jcp.30515,yes,Critical
MicroRNA-150 contributes to ischemic stroke through its effect on cerebral cortical neuron survival and function by inhibiting ERK1/2 axis via Mal,1.0,4.5,0.25,10.1002/jcp.30514,yes,Critical
MicroRNA-21 contributes to high glucose–induced fibrosis in peritoneal mesothelial cells in rat models by activation of the Ras–MAPK signaling pathway via Sprouty-1,1.0,4.5,0.25,10.1002/jcp.30513,yes,Critical
In vivo and in vitro effects of microRNA-221 on hepatocellular carcinoma development and progression through the JAK–STAT3 signaling pathway by targeting SOCS3,1.0,4.5,0.5,10.1002/jcp.30512,yes,Critical
Effect of microRNA-186 on oxidative stress injury of neuron by targeting interleukin 2 through the janus kinase-signal transducer and activator of transcription pathway in a rat model of Alzheimer's disease,4.0,4.5,8.58,10.1002/jcp.30511,yes,Critical
Long noncoding RNA HOTAIR knockdown inhibits autophagy and epithelial–mesenchymal transition through the Wnt signaling pathway in radioresistant human cervical cancer HeLa cells,2.0,4.5,0.5,10.1002/jcp.30510,yes,Critical
Effort for Payment: A Tale of Two Markets,40.0,4.8,84.91,10.1177/09567976211035782,yes,Critical
"Calcium plus vitamin D supplementation affects pregnancy outcomes in gestational diabetes: randomized, double-blind, placebo-controlled trial",5.0,3,5.1,10.1017/S1368980021002573,yes,Critical
Small interfering RNA‑induced silencing of galectin‑3 inhibits the malignant phenotypes of osteosarcoma in vitro,2.0,3.4,7.58,10.3892/mmr.2021.12309,yes,Critical
Synergistic effects of eukaryotic co‑expression plasmid‑based STAT3‑specific siRNA and LKB1 on ovarian cancer in vitro and in vivo,1.0,3.8,7.0,10.3892/or.2021.8149,yes,Critical
Beyond moral dilemmas: The role of reasoning in five categories of utilitarian judgment,2.0,2.8,1.5,10.1016/j.cognition.2021.104860,yes,Critical
"An experimental investigation on the durability of self-compacting mortar containing nano-SiO2, nano-Fe2O3 and nano-CuO",1.0,7.4,5.04,10.1016/j.conbuildmat.2015.03.100,yes,Critical
Effect of nano-CuO and fly ash on the properties of self-compacting mortar,1.0,7.4,5.04,10.1016/j.conbuildmat.2015.07.063,yes,Critical
Dental fillings for the treatment of caries in the primary dentition (Pub 2),11.0,8.8,24.928,10.1002/14651858.CD004483.pub3,yes,Minor
Oxcarbazepine add-on for drug-resistant partial epilepsy,1.0,8.8,3.0,10.1002/14651858.CD002028.pub2,yes,Moderate
Interventions for ear discharge associated with grommets (ventilation tubes) (Pub 2),1.0,8.8,3.0,10.1002/14651858.CD001933.pub3,yes,Minor
Acupuncture for neck disorders (Pub 3),15.0,8.8,27.182,10.1002/14651858.CD004870.pub5,yes,Minor
Root canal posts for the restoration of root filled teeth (Pub 2),7.0,8.8,8.0,10.1002/14651858.CD004623.pub3,yes,Major
Pulp management for caries in adults: maintaining pulp vitality (Pub 2),9.0,8.8,10.35,10.1002/14651858.CD004484.pub3,yes,Major
Occlusal interventions for periodontitis in adults (Pub 2),7.0,8.8,3.45,10.1002/14651858.CD004968.pub3,yes,Major
Exercise for dysmenorrhoea,2.0,8.8,3.0,10.1002/14651858.CD004142.pub3,yes,Minor
Towards sensor-cloud integration: A survey of enabling technologies and architectures,1.0,20.1,0.25,10.1016/j.ijinfomgt.2016.05.023,yes,Moderate
Increased Blood Lipid Level is Associated with Cancer-Specific Mortality and All-Cause Mortality in Patients with Colorectal Cancer (≥65 Years): A Population-Based Prospective Cohort Study,3.0,2.7,1.0,10.2147/RMHP.S329562,yes,Critical
Characteristics Associated With Treatment Failure 1 Year After Midurethral Sling in Women With Mixed Urinary Incontinence,19.0,5.7,9.9,10.1097/AOG.0000000000004470,yes,Moderate
Association of Fecundity With Changes in Adult Female Weight,3.0,5.7,12.04,10.1097/AOG.0000000000004496,yes,Minor
Arginine methylation of SHANK2 by PRMT7 promotes human breast cancer metastasis through activating endosomal FAK signalling,6.0,6.4,2.35,10.7554/eLife.72188,yes,Critical
Tracking COVID-19 vaccine hesitancy and logistical challenges: A machine learning approach,4.0,2.9,7.79,10.1371/journal.pone.0255347,yes,Moderate
Attenuation of inflammation by marine algae Turbinaria ornata in cotton pellet induced granuloma mediated by fucoidan like sulphated polysaccharide,3.0,10.7,4.0,10.1016/j.carbpol.2021.118426,yes,Critical
Community‐based population‐level interventions for promoting child oral health,9.0,8.8,5.050000000000001,10.1002/14651858.CD009837.pub3,yes,Minor
